column,abs_selection_effect,selection_effect,abs_default_effect,default_effect,confounder_score
prior_underwriter_score,4.175975657887581,4.175975657887581,0.2644700399498502,-0.2644700399498502,1.1044204490711305
invoice_payment_delinquency_rate,0.674500721247745,-0.674500721247745,0.9290587289245702,0.9290587289245702,0.6266507827411357
aggregate_credit_utilization,0.7059384692712237,-0.7059384692712237,0.887093026934752,0.887093026934752,0.6262330935354953
observed_cash_balance_p10,0.6684572120269191,0.6684572120269191,0.9238307975182479,-0.9238307975182479,0.6175413592936532
requested_amount,0.5087567680368211,-0.5087567680368211,0.5380200688965946,0.5380200688965946,0.2737213513907793
owner_personal_credit_band,0.6039105685251467,0.6039105685251467,0.42854336596949066,-0.42854336596949066,0.2588018677803151
payroll_regularity_score,0.37512155288716914,0.37512155288716914,0.5502649075018401,-0.5502649075018401,0.20641622660140474
observed_revenue_volatility,0.31969365031243807,-0.31969365031243807,0.5160779959595286,0.5160779959595286,0.16498685837422938
requested_amount_to_observed_revenue,0.2792225328925583,-0.2792225328925583,0.5888662405174763,0.5888662405174763,0.16442472321220816
bookkeeping_recency_days,0.3995011625789901,-0.3995011625789901,0.28972989196837123,0.28972989196837123,0.11574742867524951
observed_overdraft_count_3mo,0.24771715251448137,-0.24771715251448137,0.4352163142841606,0.4352163142841606,0.10781054610231987
vintage_years,0.3358596980056553,0.3358596980056553,0.26095380293573656,-0.26095380293573656,0.08764386544742377
application_timestamp,0.34506017080745344,0.34506017080745344,0.21373421745844307,0.21373421745844307,0.07375116558360777
stated_time_in_business,0.30832802737767057,0.30832802737767057,0.22982463722305418,-0.22982463722305418,0.07086137703777305
existing_debt_obligations,0.18983480447736198,-0.18983480447736198,0.35927011534805187,0.35927011534805187,0.06820197210165671
account_age_days,0.2918507852963955,0.2918507852963955,0.22019727034288722,-0.22019727034288722,0.06426474626969433
observed_revenue_trend_3mo,0.21977365886926067,0.21977365886926067,0.26352584784580985,-0.26352584784580985,0.05791603978769771
platform_active_months,0.15767409598688809,0.15767409598688809,0.26967584241352816,-0.26967584241352816,0.042520894662055546
days_since_last_inquiry_elsewhere,0.18390304992151513,0.18390304992151513,0.21819374158353286,-0.21819374158353286,0.04012649455099861
employee_count_bucket,0.15323782259453617,0.15323782259453617,0.23045872728755448,-0.23045872728755448,0.035314993567452865
days_since_last_external_decline,0.1968286097604416,0.1968286097604416,0.1758254313973789,-0.1758254313973789,0.03460747522247599
recent_inquiries_count_6mo,0.18965508643330806,-0.18965508643330806,0.17078736969356098,0.17078736969356098,0.03239069336094964
observed_monthly_revenue_avg_3mo,0.08094410343663193,0.08094410343663193,0.26812406813556194,-0.26812406813556194,0.021703062305015473
prior_loans_amount_total,0.1592141538192616,0.1592141538192616,0.12432655748204759,-0.12432655748204759,0.019794547646765994
sector,0.11075169597867605,0.11075169597867605,0.1349978001399269,-0.1349978001399269,0.014951235318887255
multi_lender_inquiry_count_30d,0.12883279060302816,-0.12883279060302816,0.11240859513775053,0.11240859513775053,0.014481912999362384
has_linked_bank_feed,0.15192818787418136,0.15192818787418136,0.07444063582897611,-0.07444063582897611,0.0113096309056982
stated_annual_revenue,0.05099129393490079,-0.05099129393490079,0.12013058482605317,-0.12013058482605317,0.00612561396143681
prior_loans_count,0.07831304977760924,0.07831304977760924,0.06444864137864877,-0.06444864137864877,0.005047169660385408
application_channel,0.03217905188325507,-0.03217905188325507,0.03503354244550242,0.03503354244550242,0.0011273461800080412
prior_loans_default_count,0.033934995334735873,-0.033934995334735873,0.022467308299882992,0.022467308299882992,0.0007624280023406019
repeat_application_count,0.012267635172938503,-0.012267635172938503,0.015801896183909144,0.015801896183909144,0.00019385189742484652
intended_use_of_funds,0.00844095405821728,-0.00844095405821728,0.0064537669828602364,0.0064537669828602364,5.447595060476281e-05
geography_region,0.005761781801331762,-0.005761781801331762,0.0037504436340773037,0.0037504436340773037,2.1609237877747166e-05
