query_id,applicant_id,feature_name,intervention_value,intervention_class,delta_shrink_factor,class_interval_widening,support_interval_widening,is_duplicate_intervention,duplicate_source_query_id,feature_exists,support_status,outside_min_max,outside_p01_p99,unseen_category,train_min,train_p01,train_p99,train_max,intervention_numeric,intervention_category,n_train_levels,base_pd,raw_counterfactual_pd,predicted_pd_cf,delta_raw,delta_final,prior_approval_propensity_cf,pd_cf_lower_90,pd_cf_upper_90,interval_width,expected_delta_sign,intervention_direction,sign_check_pass
q00000,876bcd01-6bb4-a5b2-def4-8ff161a48e12,prior_loans_count,5.0,historical_or_proxy,0.35,0.035,0.035,False,,True,tail_support,False,True,False,0.0,0.0,2.0,6.0,5.0,,,0.20912388576732419,0.19450851301747457,0.20400850530487682,-0.014615372749849614,-0.005115380462447361,0.6492031960803073,0.11822264912849065,0.28979436148126303,0.17157171235277238,0,1.0,
q00001,876bcd01-6bb4-a5b2-def4-8ff161a48e12,invoice_payment_delinquency_rate,0.0802371272322713,direct_intervention,1.0,0.0,0.0,False,,True,in_support,False,False,False,0.0031740684742802,0.02257839352525783,0.6593090651813562,0.9119364326899564,0.0802371272322713,,,0.20912388576732419,0.15276180346954848,0.15276180346954848,-0.0563620822977757,-0.0563620822977757,0.740646108912561,0.10034230448272258,0.2051813024563744,0.10483899797365182,1,-1.0,1.0
q00002,876bcd01-6bb4-a5b2-def4-8ff161a48e12,prior_loans_count,5.0,historical_or_proxy,0.35,0.035,0.035,True,q00000,True,tail_support,False,True,False,0.0,0.0,2.0,6.0,5.0,,,0.20912388576732419,0.19450851301747457,0.20400850530487682,-0.014615372749849614,-0.005115380462447361,0.6492031960803073,0.11822264912849065,0.28979436148126303,0.17157171235277238,0,1.0,
q00003,ca4b7fc8-e745-334f-52e7-039d6018b5f3,platform_active_months,25.0,historical_or_proxy,0.35,0.035,0.035,False,,True,tail_support,False,True,False,0.0,0.0,17.0,26.0,25.0,,,0.7893077780139048,0.7893077780139048,0.7893077780139048,0.0,0.0,0.1828597704738623,0.6825364676852286,0.8960790883425811,0.21354262065735252,-1,1.0,0.0
q00004,ca4b7fc8-e745-334f-52e7-039d6018b5f3,stated_annual_revenue,977502.2972138582,direct_intervention,1.0,0.0,0.0,False,,True,in_support,False,False,False,156537.26653282729,476918.2813894665,8147318.036850396,43450535.52593251,977502.2972138582,,,0.7893077780139048,0.8470254294159815,0.8470254294159815,0.05771765140207663,0.05771765140207663,0.18118535462357432,0.8029695414317881,0.8910813174001748,0.08811177596838671,-1,-1.0,1.0
q00005,ca4b7fc8-e745-334f-52e7-039d6018b5f3,application_channel,2.0,direct_intervention,1.0,0.0,0.0,False,,True,in_support,False,False,False,0.0,0.0,2.0,2.0,2.0,,,0.7893077780139048,0.769363495374928,0.769363495374928,-0.01994428263897685,-0.01994428263897685,0.20130023619587753,0.7221755374898403,0.8165514532600157,0.09437591577017534,0,1.0,
q00006,b1decd07-b1e9-44b2-343b-56738a8b7dac,recent_inquiries_count_6mo,4.0,direct_intervention,1.0,0.0,0.035,False,,True,tail_support,False,True,False,0.0,0.0,3.0,6.0,4.0,,,0.20874725629733204,0.20874725629733204,0.20874725629733204,0.0,0.0,0.42381860041683284,0.1478190933160895,0.2696754192785746,0.12185632596248508,1,1.0,0.0
q00007,b1decd07-b1e9-44b2-343b-56738a8b7dac,stated_annual_revenue,1493345.5968509426,direct_intervention,1.0,0.0,0.0,False,,True,in_support,False,False,False,156537.26653282729,476918.2813894665,8147318.036850396,43450535.52593251,1493345.5968509426,,,0.20874725629733204,0.2974888314085058,0.2974888314085058,0.08874157511117375,0.08874157511117375,0.4213307147329695,0.17565003272651392,0.41932763009049767,0.24367759736398376,-1,-1.0,1.0
q00008,b1decd07-b1e9-44b2-343b-56738a8b7dac,aggregate_credit_utilization,0.7892426761286483,direct_intervention,1.0,0.0,0.0,False,,True,in_support,False,False,False,0.0023050757198019,0.05360154248912952,0.9403722262291686,0.9926941859495332,0.7892426761286483,,,0.20874725629733204,0.27743712622179073,0.27743712622179073,0.06868986992445869,0.06868986992445869,0.3465882218844649,0.24333283472942427,0.3115414177141572,0.06820858298473295,1,1.0,1.0
q00009,8e4176ab-e812-9143-eb47-53105df4b22c,invoice_payment_delinquency_rate,0.0680684108239282,direct_intervention,1.0,0.0,0.0,False,,True,in_support,False,False,False,0.0031740684742802,0.02257839352525783,0.6593090651813562,0.9119364326899564,0.0680684108239282,,,0.10743349181281393,0.09824662306186341,0.09824662306186341,-0.009186868750950525,-0.009186868750950525,0.6583427976129623,0.0738862748263146,0.12260697129741222,0.04872069647109761,1,-1.0,1.0
