week_start,rows,train_rows,validation_rows,test_rows,observed_revenue_trend_3mo_mean,observed_revenue_trend_3mo_missing,observed_monthly_revenue_avg_3mo_mean,observed_monthly_revenue_avg_3mo_missing,observed_revenue_volatility_mean,observed_revenue_volatility_missing,observed_cash_balance_p10_mean,observed_cash_balance_p10_missing,requested_amount_mean,requested_amount_missing,requested_amount_to_observed_revenue_mean,requested_amount_to_observed_revenue_missing,existing_debt_obligations_mean,existing_debt_obligations_missing,aggregate_credit_utilization_mean,aggregate_credit_utilization_missing,invoice_payment_delinquency_rate_mean,invoice_payment_delinquency_rate_missing,multi_lender_inquiry_count_30d_mean,multi_lender_inquiry_count_30d_missing,has_linked_bank_feed_mean,has_linked_bank_feed_missing,regime,regime_prob_0,regime_prob_1
2024-01-01,852,852,0,0,0.9835388573643644,0.3474178403755869,139625.3941318546,0.3474178403755869,0.9887570740329213,0.3474178403755869,908.5884968763798,0.3474178403755869,22035.109722999638,0.0,0.016736791971873437,0.0,10632.96654570139,0.0,0.5040498099157529,0.0,0.19821863502361808,0.0,0.4307511737089202,0.0,0.6525821596244131,0.0,0,1.0,0.0
2024-01-08,895,895,0,0,0.9589226010239522,0.3474860335195531,136819.65653202988,0.3474860335195531,0.9788890853322538,0.3474860335195531,444.91850263880343,0.3474860335195531,22262.1787183149,0.0,0.017419363704096302,0.0,10728.868243782668,0.0,0.5190461393092383,0.0,0.21028449396407156,0.0,0.47039106145251397,0.0,0.6525139664804469,0.0,0,1.0,0.0
2024-01-15,921,921,0,0,0.9925852513777511,0.3702497285559175,139087.83785340772,0.3702497285559175,1.012198022023364,0.3702497285559175,565.0988410479933,0.3702497285559175,22388.284537081287,0.0,0.017165050975439206,0.0,10577.42460108791,0.0,0.5100456492194598,0.0,0.20716606834187223,0.0,0.4505971769815418,0.0,0.6297502714440825,0.0,0,1.0,0.0
2024-01-22,991,991,0,0,0.9767772391497064,0.3329969727547931,141193.7273246558,0.3329969727547931,0.9932735089808601,0.3329969727547931,617.7632478702812,0.3329969727547931,22589.876633394993,0.0,0.016724654776182582,0.0,10628.396171864375,0.0,0.5177067860051852,0.0,0.20481009699961475,0.0,0.450050454086781,0.0,0.6670030272452069,0.0,0,1.0,0.0
2024-01-29,907,907,0,0,0.9986100924406413,0.32083792723263505,138488.01497393442,0.32083792723263505,1.003193670546015,0.32083792723263505,560.1095065887188,0.32083792723263505,22345.864266557594,0.0,0.01701758796406821,0.0,10832.796124483551,0.0,0.5145851430512743,0.0,0.20573263388552188,0.0,0.46747519294377066,0.0,0.679162072767365,0.0,0,1.0,0.0
2024-02-05,1002,1002,0,0,0.9621288219532903,0.34530938123752497,143809.15122550068,0.34530938123752497,1.0133443271026503,0.34530938123752497,749.9460861864069,0.34530938123752497,22781.39905366234,0.0,0.016786537037675846,0.0,10464.741688895034,0.0,0.5089374089214872,0.0,0.20497707925083325,0.0,0.45109780439121755,0.0,0.654690618762475,0.0,0,1.0,0.0
2024-02-12,1056,1056,0,0,0.9884205189846853,0.3702651515151515,141749.35572899517,0.3702651515151515,1.0202799228099337,0.3702651515151515,321.71720760869,0.3702651515151515,22924.39909266375,0.0,0.017119487888362553,0.0,10845.891669940325,0.0,0.5258393619096483,0.0,0.21321293830791324,0.0,0.4460227272727273,0.0,0.6297348484848485,0.0,0,1.0,0.0
2024-02-19,1107,1107,0,0,1.013413541157376,0.35772357723577236,146868.6200624281,0.35772357723577236,0.9583027047369049,0.35772357723577236,675.7691720574551,0.35772357723577236,22938.705151593404,0.0,0.016222062240110545,0.0,10233.275481681772,0.0,0.5073962887922461,0.0,0.20961512183917946,0.0,0.4643179765130985,0.0,0.6422764227642277,0.0,0,1.0,0.0
2024-02-26,1094,1094,0,0,0.9721380300183674,0.3619744058500914,138079.71867604656,0.3619744058500914,1.017354668768856,0.3619744058500914,450.39470894116926,0.3619744058500914,23042.8793967731,0.0,0.017143964154356338,0.0,10772.367702484176,0.0,0.5267463606849402,0.0,0.21672032647652228,0.0,0.4579524680073126,0.0,0.6380255941499086,0.0,0,1.0,0.0
2024-03-04,1103,1103,0,0,1.006090149028443,0.3680870353581142,145258.86142663815,0.3680870353581142,0.9855627752577639,0.3680870353581142,588.8721520652224,0.3680870353581142,23139.332034705218,0.0,0.016603397527636128,0.0,10538.25502671782,0.0,0.5213256032590606,0.0,0.2115109097920182,0.0,0.41795104261106075,0.0,0.6319129646418857,0.0,0,1.0,0.0
