cohort_week,loan_age_weeks,cumulative_default_rate,cdr_lower_90,cdr_upper_90,n_in_cohort
1,1,0.009358177899266273,0.003237821198671876,0.01547853459986067,731
1,2,0.023040350593788374,0.0137614911230164,0.032319210064560344,731
1,3,0.03644008874365385,0.02493363607525524,0.04794654141205246,731
1,4,0.049649669912594285,0.03635488760410337,0.0629444522210852,731
1,5,0.06261217831038009,0.04781258209625338,0.07741177452450679,731
1,6,0.07533594415496177,0.059232358247537156,0.09143953006238638,731
1,7,0.08781766660625784,0.07056366724311398,0.10507166596940169,731
1,8,0.10063406043741596,0.08230612379620328,0.11896199707862865,731
1,9,0.10877561127252319,0.08981352136563503,0.12773770117941136,731
1,10,0.10945855536989758,0.09044481397445406,0.1284722967653411,731
1,11,0.11014081263080194,0.09107570115892927,0.12920592410267462,731
1,12,0.11082238392993427,0.09170618118948062,0.1299385866703879,731
1,13,0.14952817186126666,0.12783465961161092,0.1712216841109224,731
2,1,0.009620404168630864,0.00355212078395499,0.015688687553306737,760
2,2,0.02373739009274709,0.014514644529205622,0.03296013565628855,760
2,3,0.03756230501642191,0.026119813216248462,0.04900479681659536,760
2,4,0.051101645917050235,0.03789009544530126,0.0643131963887992,760
2,5,0.06439346780164916,0.04969307412877605,0.07909386147452227,760
2,6,0.07748169530149862,0.061487911312882365,0.09347547929011488,760
2,7,0.09033776846586854,0.07320249704052831,0.10747303989120877,760
2,8,0.10337389747842823,0.08518680098718297,0.1215609939696735,760
2,9,0.1117201886469021,0.09290725214955417,0.13053312514425003,760
2,10,0.11243080650464059,0.09356614692012247,0.1312954660891587,760
2,11,0.11314069900348475,0.09422460455566264,0.13205679345130686,760
2,12,0.11384986704798686,0.09488262326295613,0.1328171108330176,760
2,13,0.15258395955554316,0.13113187863562642,0.1740360404754599,760
3,1,0.009353918961731784,0.0032618454691310814,0.015445992454332487,737
3,2,0.02309220168220657,0.013842649182961526,0.03234175418145161,737
3,3,0.03653933828251457,0.02506605161408572,0.048012624950943425,737
3,4,0.04970909768168011,0.03646181835238811,0.0629563770109721,737
3,5,0.0626212602361385,0.04788153634051244,0.07736098413176455,737
3,6,0.07529361192762606,0.059260170524857325,0.09132705333039479,737
3,7,0.08774970656729779,0.07057230924219915,0.10492710389239643,737
3,8,0.10047947578198145,0.0822388326231404,0.1187201189408225,737
3,9,0.10849369179000384,0.08963040915612719,0.1273569744238805,737
3,10,0.10915942007972967,0.09024589446878864,0.1280729456906707,737
3,11,0.1098245244547337,0.09086102093120559,0.1287880279782618,737
3,12,0.11048900562391321,0.09147578687050768,0.12950222437731873,737
3,13,0.1488254534985396,0.12726203643025666,0.17038887056682253,737
4,1,0.00960931727362716,0.0034786139599812744,0.015740020587273047,745
4,2,0.023486401654849047,0.014214849864640847,0.03275795344505725,745
4,3,0.037075099321632825,0.025586544919277435,0.048563653723988215,745
4,4,0.05039570992420355,0.037136308094448914,0.06365511175395819,745
4,5,0.06348702485875754,0.048734547394517366,0.07823950232299771,745
4,6,0.07633115427706919,0.06028532213654232,0.09237698641759605,745
4,7,0.0889675807395717,0.07177755875856083,0.10615760272058257,745
4,8,0.10193809206104527,0.08368068507414286,0.12019549904794768,745
4,9,0.11022242046662344,0.09133157240983567,0.1291132685234112,745
4,10,0.11089740179884268,0.09195645174753625,0.1298383518501491,745
4,11,0.11157172475417011,0.09258093993199898,0.13056250957634125,745
4,12,0.11224539013872122,0.09320503535972342,0.131285744917719,745
4,13,0.1504906065899292,0.1289454209499144,0.17203579222994397,745
5,1,0.00977810608133532,0.0037456404468994625,0.015810571715771177,779
5,2,0.024163231050765607,0.014980511960034826,0.03334595014149639,779
5,3,0.038234665359563706,0.026840470032110653,0.04962886068701676,779
5,4,0.052013592490012424,0.03885823138626494,0.0651689535937599,779
5,5,0.06552862005946918,0.05089308126645974,0.08016415885247861,779
5,6,0.07881471049922327,0.0628958697312812,0.09473355126716534,779
5,7,0.09189600414731897,0.07484238516400518,0.10894962313063275,779
5,8,0.10530606755730434,0.08719647245323983,0.12341566266136886,779
5,9,0.1137413192791762,0.09501490796664697,0.13246773059170544,779
5,10,0.11443241062632954,0.09565694157175103,0.13320787968090805,779
5,11,0.11512279864032478,0.09629853679967773,0.13394706048097182,779
5,12,0.11581248422141989,0.09693969216624077,0.13468527627659901,779
5,13,0.15517799584133984,0.13384342461023221,0.17651256707244747,779
6,1,0.00930564746208082,0.003108221675839461,0.015503073248322178,711
6,2,0.0227711184374571,0.013410089636632002,0.0321321472382822,711
6,3,0.035964255457500115,0.02436572372739056,0.04756278718760967,711
6,4,0.048904186638022304,0.035515911724964086,0.06229246155108052,711
6,5,0.061607353572716204,0.046710459827174984,0.07650424731825743,711
6,6,0.07407808648408981,0.05787245064954083,0.09028372231863879,711
6,7,0.08640168997454384,0.06903235889440336,0.10377102105468432,711
6,8,0.09905637720906423,0.08060046614027504,0.11751228827785341,711
6,9,0.10721016974864479,0.08810358111834855,0.12631675837894102,711
6,10,0.10787128853801226,0.08871348513550135,0.12702909194052314,711
6,11,0.10853179633939926,0.0893230476664914,0.1277405450123071,711
6,12,0.10919169383549535,0.08993226696562762,0.12845112070536308,711
6,13,0.14734837449657173,0.1254838765749547,0.16921287241818878,711
7,1,0.010067867394346034,0.0036369727932786438,0.016498761995413426,709
7,2,0.024625356179852148,0.014900460961012923,0.03435025139869137,709
7,3,0.038866868659880933,0.026821851202577494,0.05091188611718438,709
7,4,0.052803690395165956,0.03891040221494661,0.0666969785753853,709
7,5,0.06647770442871617,0.051030030202318305,0.08192537865511404,709
7,6,0.07988139858819453,0.06308968202725193,0.09667311514913712,709
7,7,0.09305106083143332,0.07507299202802419,0.11102912963484245,709
7,8,0.10651390388705594,0.08743457965930261,0.12559322811480927,709
7,9,0.11499461795344666,0.09527094486972557,0.13471829103716776,709
7,10,0.1156784949425917,0.09590437708881488,0.13545261279636853,709
7,11,0.11636171190918719,0.09653741535824435,0.13618600846013001,709
7,12,0.11704426962602606,0.09717005812128038,0.13691848113077174,709
7,13,0.1552026910410531,0.13283865583403762,0.1775667262480686,709
8,1,0.00916912804417627,0.003036066061925767,0.015302190026426774,716
8,2,0.022818790089050193,0.01348244969361267,0.03215513048448772,716
8,3,0.036187602232503974,0.02459683646709278,0.04777836799791517,716
8,4,0.049290143368736654,0.03590044515215726,0.06267984158531605,716
8,5,0.062151049030026835,0.04724664809731467,0.077055449962739,716
8,6,0.0747880557849434,0.05856943086348869,0.0910066807063981,716
8,7,0.08720497447908426,0.06982488915458557,0.10458505980358296,716
8,8,0.10003943868546253,0.08156817010772502,0.11851070726320004,716
